Ragione_Sociale,id,cciaa,nat_giuridica,anno_iscrizione_sezione_startup,anno_iscrizione_registro_imprese,anno_inizio_attivit,ateco_2007,settore,attivita,regione,sezione_attivita,classe_addetti,classe_valore_produzione,alto_valore_tecnologico,classe_capitale_sociale,spese_ricerca_sviluppo,prevalenza_femminile,prevalenza_giovanile,prevalenza_straniera,stato_impresa_label,classificazione,provincia,Macro_Area,Dipendenti_Sintetici,Fatturato_Sintetico,Utile_Sintetico,Prod_Firewall,Prod_Endpoint_Security,Prod_Cloud_Security,Prod_SOC_Gestito
"Granatelli, Grossi e Martucci SPA",67,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,731102,SERVIZI,M 73 PUBBLICITA' E RICERCHE DI MERCATO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,Forte,NO,NO,Attive,servizi_non_finanziari,MI,Nord,5.0,438990.51,12603.2,0,0,1,0
Stucchi SPA,68,RM,SOCIETA' PER AZIONI,2021,2021,2021.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 250 a 500mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,5.0,414435.17,59313.39,1,1,1,0
Cociarelli Group,69,AP,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2019,2019,2019.0,5821,SERVIZI,J 58 ATTIVITA' EDITORIALI,MARCHE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,AP,Centro,44.0,3321233.5,-235330.48,1,1,0,0
"Fantini, Pennetta e Soderini Group",70,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2019,2020.0,702201,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,Forte,,NO,Attive,servizi_non_finanziari,TE,Sud_Isole,11.0,1004514.02,55481.63,1,1,1,0
Montalti-Borromini Group,72,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_rd,TE,Sud_Isole,3.0,312273.73,-11143.43,0,0,1,0
Bernardini-Baglioni Group,73,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,0-100.000 euro,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_rd,TE,Sud_Isole,30.0,3426174.88,-131388.0,0,0,1,0
Morgagni-Catenazzi Group,74,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2016,2016.0,2399,INDUSTRIA/ARTIGIANATO,C 23 FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERAL,ABRUZZO,C ATTIVITA' MANIFATTURIERE,0-4,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,,Maggioritaria,NO,NO,Attive,industria,TE,Sud_Isole,9.0,626386.01,-113442.58,0,0,0,0
"Romagnoli, Quasimodo e Lopresti e figli",75,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2019.0,702209,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",05-set,100.001 - 500.000 euro,NO,Da 100 a 250mila euro,,NO,NO,NO,Attive,servizi_non_finanziari,TE,Sud_Isole,41.0,3158017.63,-496413.17,1,1,0,0
Gatto-Cusano Group,78,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,5829,SERVIZI,J 58 ATTIVITA' EDITORIALI,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,MI,Nord,3.0,235373.33,-24611.41,0,0,0,0
Canevascini-Foletti Group,79,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,2562,INDUSTRIA/ARTIGIANATO,C 25 FABBRICAZIONE DI PRODOTTI IN METALLO (ESCLUSI MACCHINARI E A,ABRUZZO,C ATTIVITA' MANIFATTURIERE,05-set,0-100.000 euro,NO,Da 100 a 250mila euro,,NO,NO,NO,Attive,industria,TE,Sud_Isole,3.0,199636.28,26553.47,0,0,0,0
Gaito Group,80,CO,SOCIETA' PER AZIONI,2016,2016,2016.0,63113,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,500.001 - 1.000.000 euro,NO,Da 50 a 100mila euro,SI,NO,NO,NO,Attive,software_informatica,CO,Nord,4.0,324115.21,-56418.61,0,0,1,0
"Ricolfi, Respighi e Donarelli s.r.l.",81,CO,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2017,2017.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,CO,Nord,2.0,249316.23,22714.08,0,0,1,0
Porcellato e figli,82,CO,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,732,SERVIZI,M 73 PUBBLICITA' E RICERCHE DI MERCATO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,servizi_non_finanziari,CO,Nord,9.0,515396.15,49180.17,0,0,0,0
Callegari-Montanariello e figli,83,CO,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2018,2018.0,829999,SERVIZI,N 82 ATTIVITA' DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERV,LOMBARDIA,"N NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRE...",0-4,0-100.000 euro,NO,Da 5 a 10mila euro,,Esclusiva,NO,NO,Attive,servizi_non_finanziari,CO,Nord,1.0,80304.62,-9374.32,0,0,0,0
Cheda-Greggio Group,84,CO,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,500.001 - 1.000.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,CO,Nord,1.0,113403.8,-3248.78,0,0,0,0
Zacchia e figli,85,CO,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_informatica,CO,Nord,14.0,950113.82,-175474.4,0,0,0,0
Capuana-Speri SPA,86,AP,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",MARCHE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,SI,NO,Forte,NO,Attive,software_informatica,AP,Centro,5.0,292373.66,-54042.1,0,0,0,0
Lippomano-Troisi e figli,88,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,2612,INDUSTRIA/ARTIGIANATO,C 26 FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA,ABRUZZO,C ATTIVITA' MANIFATTURIERE,05-set,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,industria,TE,Sud_Isole,2.0,217127.87,-33619.68,0,0,0,0
Doglioni-Canevascini Group,89,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,829999,SERVIZI,N 82 ATTIVITA' DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERV,ABRUZZO,"N NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRE...",0-4,0-100.000 euro,NO,Da 10 a 50mila euro,SI,Maggioritaria,NO,NO,Attive,servizi_non_finanziari,TE,Sud_Isole,1.0,107009.25,12789.3,0,0,0,0
Sermonti-Paltrinieri SPA,90,BA,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2019,2020.0,5912,SERVIZI,"J 59 ATTIVITA' DI PRODUZIONE, POST-PRODUZIONE E DISTRIBUZIONE CIN",PUGLIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,BA,Sud_Isole,1.0,70180.28,9787.03,0,0,0,0
Pirelli-Bembo SPA,92,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2022,2020,2022.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_informatica,TE,Sud_Isole,5.0,399043.94,13926.13,0,0,1,0
Maderna Group,93,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2017,2017.0,2399,INDUSTRIA/ARTIGIANATO,C 23 FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERAL,ABRUZZO,C ATTIVITA' MANIFATTURIERE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,Forte,NO,NO,Attive,industria,TE,Sud_Isole,1.0,108034.48,16129.86,1,1,0,0
Carducci s.r.l.,94,BS,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",ott-19,1.000.001 - 2.000.000 euro,SI,"Da 2,5 a 5mln euro",,NO,NO,NO,Attive,software_rd,BS,Nord,25.0,2907986.04,-581205.36,1,1,1,0
"Doglioni, Vasari e Farinelli Group",95,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,289999,INDUSTRIA/ARTIGIANATO,C 28 FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA,ABRUZZO,C ATTIVITA' MANIFATTURIERE,05-set,100.001 - 500.000 euro,NO,Da 50 a 100mila euro,,NO,,NO,Attive,industria,TE,Sud_Isole,1.0,55193.0,-8228.59,0,0,0,0
Chiappetta s.r.l.,96,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2016,2016.0,702209,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",05-set,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,servizi_non_finanziari,TE,Sud_Isole,3.0,294605.27,-4133.81,0,0,0,0
"Pininfarina, Vecoli e Tasso e figli",97,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,MI,Nord,5.0,478648.0,-77324.06,1,1,0,0
"Pavarotti, Polesel e Tencalla s.r.l.",98,RC,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CALABRIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,software_informatica,RC,Sud_Isole,1.0,78572.64,11182.23,0,0,1,0
"Marino, Bodoni e Parini s.r.l.",100,RA,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2015,2016.0,749093,SERVIZI,"M 74 ALTRE ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",EMILIA-ROMAGNA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",05-set,500.001 - 1.000.000 euro,NO,Da 500 a 1mln euro,,NO,NO,NO,Attive,servizi_non_finanziari,RA,Nord,1.0,68211.13,3306.73,0,0,0,0
Sokolov-Sbarbaro e figli,102,MI,SOCIETA' PER AZIONI,2018,2018,2018.0,7211,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",05-set,500.001 - 1.000.000 euro,SI,"Da 1 a 2,5mln euro",,NO,NO,NO,Attive,software_rd,MI,Nord,11.0,800450.25,-145563.51,1,0,0,1
"Boccherini, Vigorelli e Schicchi SPA",103,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",05-set,100.001 - 500.000 euro,SI,Da 100 a 250mila euro,SI,NO,NO,NO,Attive,software_rd,MI,Nord,9.0,1163482.78,41770.99,0,1,1,0
"Panzera, Ubaldi e Panicucci e figli",104,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,RM,Centro,4.0,468125.43,-70297.3,0,0,0,0
Casagrande-Calbo Group,105,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,1.0,90065.94,-12454.25,1,1,1,0
Ziani-Frescobaldi Group,106,AN,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2019,2016.0,412,INDUSTRIA/ARTIGIANATO,F 41 COSTRUZIONE DI EDIFICI,MARCHE,F COSTRUZIONI,0-4,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,industria,AN,Centro,4.0,260058.92,15809.68,1,1,0,0
Chigi-Caracciolo e figli,107,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,4.0,490641.91,-56365.53,1,1,0,0
"Volterra, Paruta e Zanazzo e figli",108,MI,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2021,2021,2021.0,829999,SERVIZI,N 82 ATTIVITA' DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERV,LOMBARDIA,"N NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRE...",0-4,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,,NO,NO,Attive,servizi_non_finanziari,MI,Nord,2.0,217656.68,-20633.17,0,0,1,0
"Greggio, Perozzo e Platini SPA",110,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,ott-19,1.000.001 - 2.000.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,TE,Sud_Isole,5.0,386486.59,57171.82,0,0,0,0
Vattimo-Donatoni e figli,111,LT,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,LT,Centro,9.0,745219.13,-83524.71,1,1,0,0
"Turci, Pascarella e Valier s.r.l.",112,PD,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,PD,Nord,1.0,120242.55,11145.78,1,1,1,0
"Togliatti, Brugnaro e Spadafora e figli",113,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2020.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,TE,Sud_Isole,4.0,270918.87,34034.42,0,0,1,0
"Pacetti, Vecellio e Porcellato SPA",114,CH,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,CH,Sud_Isole,5.0,392897.72,-26368.44,0,0,1,0
Serlupi Group,115,BA,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,7211,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,PUGLIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 100 a 250mila euro,SI,NO,NO,NO,Attive,software_rd,BA,Sud_Isole,10.0,931264.75,52546.02,1,0,0,0
Vivaldi-Cuzzocrea SPA,116,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,1.000.001 - 2.000.000 euro,NO,Da 100 a 250mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,5.0,414668.43,28706.58,0,0,0,0
Contrafatto s.r.l.,117,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,15.0,1082804.26,-195079.0,1,1,0,1
Pederiva Group,118,MI,SOCIETA' COOPERATIVA,2021,2019,2020.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Non Disponibile,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,4.0,461758.4,-15581.59,0,0,1,0
Scotto e figli,119,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,,NO,Maggioritaria,NO,Attive,software_informatica,MI,Nord,44.0,3693217.5,172495.33,1,1,1,1
"Rossini, Romiti e Govoni e figli",120,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,Forte,NO,Attive,software_informatica,MI,Nord,46.0,5847382.67,-562924.75,1,1,1,0
Casini Group,121,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,Esclusiva,NO,Attive,software_informatica,MI,Nord,16.0,1279923.97,119721.44,1,0,0,0
Gadda SPA,122,BO,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",EMILIA-ROMAGNA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,software_informatica,BO,Nord,4.0,254161.45,-3521.36,1,0,0,0
"Catalano, Fantoni e Nolcini Group",124,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,702209,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,MI,Nord,4.0,284784.59,-22097.88,1,1,0,0
Semitecolo Group,125,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2015,2015.0,2222,INDUSTRIA/ARTIGIANATO,C 22 FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE,ABRUZZO,C ATTIVITA' MANIFATTURIERE,05-set,1.000.001 - 2.000.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,industria,TE,Sud_Isole,10.0,861008.8,6895.96,0,0,0,0
Borroni-Mazzanti SPA,127,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,712021,SERVIZI,M 71 ATTIVITA' DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAU,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,Forte,NO,NO,Attive,servizi_non_finanziari,TE,Sud_Isole,7.0,654296.14,-9961.26,0,0,0,0
Mastroianni-Ficino SPA,128,PE,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,100.001 - 500.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,PE,Sud_Isole,18.0,1767655.37,54392.13,1,0,1,0
Cadorna-Malenchini Group,129,PE,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,7211,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,Non Disponibile,SI,Da 10 a 50mila euro,SI,NO,Maggioritaria,NO,Attive,software_rd,PE,Sud_Isole,34.0,2257592.67,-286282.69,0,1,1,0
Telesio SPA,130,PE,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,500.001 - 1.000.000 euro,NO,Da 500 a 1mln euro,,NO,NO,NO,Attive,software_informatica,PE,Sud_Isole,2.0,226004.86,11701.51,0,1,1,0
Castioni-Solimena SPA,131,PE,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2018,2018.0,2562,INDUSTRIA/ARTIGIANATO,C 25 FABBRICAZIONE DI PRODOTTI IN METALLO (ESCLUSI MACCHINARI E A,ABRUZZO,C ATTIVITA' MANIFATTURIERE,Non Disponibile,100.001 - 500.000 euro,NO,Da 100 a 250mila euro,,NO,NO,NO,Attive,industria,PE,Sud_Isole,2.0,206514.56,17785.25,1,1,1,0
Prati-Mazzeo SPA,132,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2018.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 100 a 250mila euro,SI,Forte,Forte,NO,Attive,software_informatica,MI,Nord,3.0,378274.02,8574.9,0,0,0,0
Filogamo SPA,133,CB,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2018,2018.0,63113,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,MOLISE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,CB,Sud_Isole,1.0,93001.68,-14259.41,1,0,0,0
Vergassola-Bellocchio s.r.l.,134,PE,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 1 fino a 5mila euro,,Forte,NO,NO,Attive,software_informatica,PE,Sud_Isole,5.0,287865.75,673.77,1,0,1,0
